iter	Passed	Remaining
444	1180	1472
445	1182	1469
446	1184	1465
447	1188	1464
448	1190	1461
449	1192	1457
450	1195	1454
451	1196	1451
452	1199	1447
453	1200	1443
454	1207	1446
455	1209	1443
456	1212	1440
457	1213	1436
458	1215	1433
459	1220	1432
460	1222	1429
461	1224	1425
462	1226	1422
463	1228	1418
464	1229	1415
465	1233	1413
466	1236	1411
467	1238	1408
468	1242	1406
469	1244	1403
470	1246	1399
471	1250	1398
472	1253	1396
473	1255	1393
474	1257	1390
475	1259	1386
476	1261	1383
477	1266	1383
478	1269	1380
479	1271	1377
480	1274	1374
481	1276	1371
482	1279	1369
483	1293	1379
484	1298	1379
485	1301	1376
486	1303	1372
487	1308	1372
488	1311	1370
489	1313	1367
490	1315	1364
491	1317	1360
492	1321	1359
493	1325	1358
494	1328	1354
495	1330	1352
496	1332	1348
497	1337	1347
498	1341	1346
499	1343	1343
500	1345	1339
501	1347	1336
502	1349	1333
503	1354	1332
504	1356	1329
505	1359	1327
506	1362	1324
507	1364	1321
508	1370	1322
509	1373	1319
510	1375	1316
511	1378	1313
512	1383	1313
513	1385	1310
514	1388	1307
515	1390	1304
516	1392	1301
517	1395	1298
518	1399	1297
519	1402	1294
520	1404	1291
521	1406	1288
522	1409	1285
523	1418	1289
524	1420	1285
525	1423	1282
526	1428	1281
527	1430	1279
528	1433	1276
529	1435	1273
530	1437	1269
531	1446	1272
532	1450	1270
533	1452	1267
534	1454	1263
535	1456	1260
536	1459	1258
537	1461	1254
538	1463	1251
539	1465	1248
540	1467	1244
541	1469	1241
542	1473	1240
543	1476	1237
544	1478	1234
545	1481	1231
546	1482	1228
547	1485	1225
548	1488	1222
549	1490	1219
550	1492	1216
551	1495	1213
552	1497	1210
553	1499	1207
554	1503	1205
555	1506	1202
556	1508	1199
557	1510	1196
558	1512	1193
559	1514	1189
560	1517	1187
561	1519	1184
562	1521	1181
563	1523	1177
564	1525	1174
565	1527	1170
566	1529	1167
567	1532	1165
568	1536	1164
569	1539	1161
570	1541	1157
571	1542	1154
572	1545	1151
573	1547	1148
574	1549	1145
575	1551	1142
576	1553	1139
577	1556	1136
578	1558	1132
579	1561	1130
580	1563	1127
581	1566	1124
582	1568	1121
583	1570	1118
584	1572	1115
585	1575	1113
586	1578	1110
587	1580	1107
588	1582	1104
589	1584	1101
590	1587	1098
591	1590	1095
592	1592	1093
593	1595	1090
594	1598	1087
595	1600	1084
596	1602	1081
597	1606	1079
598	1608	1076
599	1610	1073
600	1612	1070
601	1614	1067
602	1616	1063
603	1617	1060
604	1620	1058
605	1623	1055
606	1624	1051
607	1626	1048
608	1628	1045
609	1630	1042
610	1631	1038
611	1633	1035
612	1636	1033
613	1638	1030
614	1640	1027
615	1642	1024
616	1645	1021
617	1646	1017
618	1648	1014
619	1651	1011
620	1653	1008
621	1655	1005
622	1657	1002
623	1659	999
624	1661	996
625	1662	993
626	1665	990
627	1667	987
628	1668	984
629	1670	981
630	1672	978
631	1674	974
632	1675	971
633	1678	968
634	1681	966
635	1682	963
636	1685	960
637	1687	957
638	1688	954
639	1690	950
640	1692	948
641	1695	945
642	1696	942
643	1698	938
644	1700	935
645	1702	932
646	1703	929
647	1705	926
648	1708	923
649	1710	921
650	1712	918
651	1714	914
652	1715	911
653	1717	908
654	1719	905
655	1720	902
656	1723	899
657	1725	897
658	1728	894
659	1729	891
660	1731	888
661	1733	884
662	1735	881
663	1736	878
664	1741	877
665	1743	874
666	1744	871
667	1746	867
668	1747	864
669	1749	861
670	1752	859
671	1755	856
672	1756	853
673	1758	850
674	1760	847
675	1761	844
676	1763	841
677	1765	838
678	1768	836
679	1771	833
680	1774	831
681	1776	828
682	1777	825
683	1780	822
684	1783	819
685	1785	817
686	1788	814
687	1790	811
688	1792	808
689	1794	806
690	1797	803
691	1799	801
692	1801	798
693	1803	795
694	1806	792
695	1807	789
696	1809	786
697	1813	784
698	1815	781
699	1817	778
700	1819	775
701	1821	773
702	1823	770
703	1825	767
704	1831	766
705	1833	763
706	1836	761
707	1838	758
708	1840	755
709	1843	753
710	1845	750
711	1847	747
712	1849	744
713	1852	741
714	1854	739
715	1857	736
716	1860	734
717	1862	731
718	1864	728
719	1866	725
720	1868	723
721	1870	720
722	1875	718
723	1878	716
724	1881	713
725	1883	710
726	1885	708
727	1889	706
728	1892	703
729	1895	701
730	1897	698
731	1898	695
732	1901	692
733	1906	691
734	1908	688
735	1910	685
736	1912	682
737	1914	679
738	1916	676
739	1919	674
740	1921	671
741	1924	669
742	1925	666
743	1927	663
744	1929	660
745	1932	657
746	1934	655
747	1937	652
748	1941	650
749	1943	647
750	1945	644
751	1949	642
752	1951	640
753	1953	637
754	1955	634
755	1958	631
756	1965	630
757	1969	628
758	1972	626
759	1973	623
760	1976	620
761	1980	618
762	1982	615
763	1984	612
764	1986	610
765	1987	607
766	1989	604
767	1991	601
768	1995	599
769	1998	596
770	1999	593
771	2001	591
772	2003	588
773	2005	585
774	2006	582
775	2011	580
776	2015	578
777	2017	575
778	2019	572
779	2021	570
780	2025	567
781	2027	565
782	2029	562
783	2032	559
784	2034	557
785	2038	555
786	2041	552
787	2043	549
788	2046	547
789	2049	544
790	2051	542
791	2056	540
792	2058	537
793	2061	534
794	2063	532
795	2068	530
796	2072	527
797	2074	525
798	2076	522
799	2078	519
800	2080	516
801	2085	514
802	2087	512
803	2090	509
804	2093	507
805	2095	504
806	2101	502
807	2104	500
808	2106	497
809	2108	494
810	2110	491
811	2113	489
812	2115	486
813	2117	483
814	2118	480
815	2120	478
816	2122	475
817	2124	472
818	2125	469
819	2130	467
820	2133	465
821	2134	462
822	2136	459
823	2138	456
824	2140	453
825	2143	451
826	2146	448
827	2148	446
828	2150	443
829	2152	440
830	2154	438
831	2156	435
832	2161	433
833	2164	430
834	2166	428
835	2168	425
836	2169	422
837	2171	419
838	2176	417
839	2178	415
840	2180	412
841	2182	409
842	2184	406
843	2186	404
844	2189	401
845	2192	399
846	2195	396
847	2197	393
848	2198	391
849	2200	388
850	2202	385
851	2205	383
852	2207	380
853	2209	377
854	2210	374
855	2212	372
856	2214	369
857	2215	366
858	2219	364
859	2221	361
860	2223	358
861	2225	356
862	2226	353
863	2228	350
864	2230	348
865	2234	345
866	2236	343
867	2238	340
868	2239	337
869	2241	334
870	2243	332
871	2244	329
872	2246	326
873	2249	324
874	2251	321
875	2253	319
876	2255	316
877	2257	313
878	2259	311
879	2261	308
880	2265	306
881	2267	303
882	2269	300
883	2271	298
884	2272	295
885	2274	292
886	2276	290
887	2281	287
888	2285	285
889	2287	282
890	2289	280
891	2291	277
892	2293	274
893	2296	272
894	2298	269
895	2300	267
896	2302	264
897	2303	261
898	2305	258
899	2306	256
900	2311	253
901	2313	251
902	2315	248
903	2316	246
904	2318	243
905	2319	240
906	2321	238
907	2324	235
908	2326	232
909	2328	230
910	2330	227
911	2332	225
912	2333	222
913	2335	219
914	2336	217
915	2338	214
916	2340	211
917	2342	209
918	2344	206
919	2345	203
920	2347	201
921	2349	198
922	2351	196
923	2352	193
924	2356	191
925	2358	188
926	2359	185
927	2361	183
928	2363	180
929	2364	177
930	2366	175
931	2367	172
932	2370	170
933	2372	167
934	2374	165
935	2376	162
936	2379	159
937	2380	157
938	2382	154
939	2387	152
940	2389	149
941	2391	147
942	2393	144
943	2394	142
944	2396	139
945	2397	136
946	2400	134
947	2402	131
948	2404	129
949	2406	126
950	2408	124
951	2409	121
952	2411	118
953	2413	116
954	2416	113
955	2419	111
956	2422	108
957	2423	106
958	2425	103
959	2426	101
960	2428	98
